Key,Description,Standard,EL,FR,AR,
SETTEXT.Flowchart.1098,,<b>Simulation Parameters</b>\n{$PopulationText}\n{$Likelihood}% chance of having sex\n{$Vaccine}% of population has HPV vaccine\n,<b>Παράμετροι προσομοίωσης</b>\n{$PopulationText}\n{$Likelihood}% πιθανότητα σεξουαλικής επαφής\n{$Vaccine}% του πληθυσμού έχει το εμβόλιο HPV\n,<b>Paramètres de simulation</b>\n{$PopulationText}\n{$Likelihood}% de chance d'avoir des rapports sexuels\n{$Vaccine}% de la population est vaccinée contre le VPH\n,<b>معلمات المحاكاة</b>\n{$PopulationText}\n{$Likelihood}%فرصة ممارسة الجنس \n{$Vaccine}% من السكان لديهم لقاح فيروس الورم الحليمي البشري\n,
SETTEXT.Flowchart.1100,,"Population:\n\n\nChance of having sex:\n\nPopulation with HPV vaccine:\n\nInitial infected population:","Πληθυσμός:\n\n\nΠιθανότητα σεξουαλικής επαφής:\n\nΠληθυσμός με εμβόλιο HPV:\n\nΑρχικός μολυσμένος πληθυσμός:","Population:\n\n\nChance d'avoir des rapports sexuels:\n\nPopulation vaccinée contre le VPH:\n\nPopulation initialement infectée:","السكان:\n\n\nفرصة ممارسة الجنس:\n\nالسكان الذين لديهم لقاح فيروس الورم الحليمي البشري:\n\nالسكان المصابون الأولي:",
SETTEXT.Flowchart.1785,,"Population:\n\n\nChance of having sex:\n\nPopulation with HPV vaccine:\n\nInitial infected population:","Πληθυσμός:\n\n\nΠιθανότητα σεξουαλικής επαφής:\n\nΠληθυσμός με εμβόλιο HPV:\n\nΑρχικός μολυσμένος πληθυσμός:","Population:\n\n\nChance d'avoir des rapports sexuels:\n\nPopulation vaccinée contre le VPH:\n\nPopulation initialement infectée:","السكان:\n\n\nفرصة ممارسة الجنس:\n\nالسكان الذين لديهم لقاح فيروس الورم الحليمي البشري:\n\nالسكان المصابون الأولي:",
SETTEXT.Flowchart.1755,,{$PopulationText}\n\n\n\n\n{$Likelihood}%\n\n\n\n\n{$Vaccine}%\n\n\n\n10,{$PopulationText}\n\n\n{$Likelihood}%\n\n\n\n{$Vaccine}%\n\n10,{$PopulationText}\n\n\n{$Likelihood}%\n\n\n{$Vaccine}%\n\n\n10,{$PopulationText}\n\n\n{$Likelihood}%\n\n\n{$Vaccine}%\n\n10,
SETTEXT.Flowchart.1757,,{$PopulationText}\n\n\n\n{$Likelihood}%\n\n\n\n{$Vaccine}%\n\n\n\n10,{$PopulationText}\n\n{$Likelihood}%\n\n{$Vaccine}%\n\n\n10,{$PopulationText}\n\n{$Likelihood}%\n\n\n{$Vaccine}%\n\n\n\n10,{$PopulationText}\n\n{$Likelihood}%\n\n{$Vaccine}%\n\n\n10,
SETTEXT.Flowchart.1578,,{$Outcome} people infected during the 7 days!,{$Outcome} άτομα μολύνθηκαν μέσα σε 7 μέρες!,\n\n{$Outcome} personnes infectées pendant les 7 jours !,{$Outcome} شخص أصيب خلال 7 أيام!,
SETTEXT.Flowchart.1105,,Day  0,Μέρα 0,Jour  0,اليوم  0,
SETTEXT.Flowchart.1106,,Day  1,Μέρα 1,Jour  1,اليوم  1,
SETTEXT.Flowchart.1453,,Day  2,Μέρα 2,Jour  2,اليوم  2,
SETTEXT.Flowchart.1668,,Day  3,Μέρα 3,Jour  3,اليوم  3,
SETTEXT.Flowchart.1455,,Day  4,Μέρα 4,Jour  4,اليوم  4,
SETTEXT.Flowchart.1669,,Day  5,Μέρα 5,Jour  5,اليوم  5,
SETTEXT.Flowchart.1457,,Day  6,Μέρα 6,Jour  6,اليوم  6,
SETTEXT.Flowchart.1577,,Day  7,Μέρα 7,Jour  7,اليوم  7,
