Key,Description,Standard,EL,AR,FR
SAY.Flowchart.3.Character Name,,Welcome to... Are you smarter than a condom?,Καλώς ήρθατε στο... Είστε πιο έξυπνοι από ένα προφυλακτικό;,مرحبا بكم في ... هل أنت أذكى من الواقي الذكري؟,Bienvenue à ... Êtes-vous plus intelligent qu'un préservatif. 
SAY.Flowchart.5.Character Name,,"A thrilling game of condom knowledge, where you get the chance to win... {wc} Absolutely nothing! {wc} Do you think you know everything about condoms and how to use them? {wc} Do you think you're smarter than me? {wc} Answer a series of questions by selecting the correct answer on your dashboard. {wc} Let's see the first question!","Ένα συναρπαστικό παιχνίδι γνώσης για τα προφυλακτικά, όπου έχετε την ευκαιρία να κερδίσετε... {wc} Απολύτως τίποτα! {wc} Πιστεύετε ότι γνωρίζετε τα πάντα για τα προφυλακτικά και πώς να τα χρησιμοποιείτε; {wc} Νομίζετε ότι είστε πιο έξυπνοι από εμένα; {wc} Απαντήστε σε μια σειρά ερωτήσεων, επιλέγοντας τη σωστή απάντηση στην οθόνη σας. {wc} Ας δούμε την πρώτη ερώτηση!","لعبة مثيرة لمعرفة الواقي الذكري ، حيث تحصل على فرصة للفوز ... {wc} لا شيء على الإطلاق! {wc} هل تعتقد أنك تعرف كل شيء عن الواقي الذكري وكيفية استخدامه؟ {wc} هل تعتقد أنك أذكى مني؟ {wc} أجب عن سلسلة من الأسئلة بتحديد الإجابة الصحيحة في لوحة التحكم. {wc} دعنا نرى السؤال الأول!","Un jeu excitant de connaissance sur les préservatifs, où vous avez la chance de gagner ...Absolument rien du tout! Vous pensez tout savoir sur les préservatifs et la façon de les utiliser ? {wc} Est-ce que tu penses que tu es plus intelligent que moi ? {wc} Réponds à une série de questions en sélectionnant la bonne réponse sur ton tableau de bord. {wc} Voyons la première question !"
SAY.Flowchart.10.Character Name,,Let's see... Is that the correct anwer?,Για να δούμε.... Είναι αυτή η σωστή απάντηση;,لنرى ... هل هذا هو الجواب الصحيح؟,Voyons ... Est-ce la bonne réponse?
SAY.Flowchart.14.,,{$feedback1},,,
SAY.Flowchart.59.,,Let's move on to the next question!,Ας προχωρήσουμε στην επόμενη ερώτηση!,دعنا ننتقل إلى السؤال التالي!,Continuons avec la question suivante!
SAY.Flowchart.24.,,{$feedback1},,,
SAY.Flowchart.25.,,{$feedback2},,,
SAY.Flowchart.27.,,"Whenever you're ready, we can move on to the next question.","Οπότε είστε έτοιμοι, μπορούμε να προχωρήσουμε στην επόμενη ερώτηση.","عندما تكون جاهزًا ، يمكننا الانتقال إلى السؤال التالي.",Dès que tu es prêt on peut aller à la question suivante
SAY.Flowchart.32.,,{$feedback1},,,
SAY.Flowchart.30.,,Well done answering all the questions! Now let's see how you did!,Συγχαρητήρια που απαντήσατε σε όλες τις ερωτήσεις! Ας δούμε λοιπόν πώς τα πήγατε!,أحسنت الإجابة على جميع الأسئلة! الآن دعنا نرى كيف أبليت !,Bravo pour avoir répondu à toutes les questions ! Voyons maintenant comment tu t'en es sorti !
SAY.Flowchart.34.,,{$feedback1},,,
SAY.Flowchart.38.,,{$feedback2},,,
SAY.Flowchart.35.,,Well done answering all the questions! Now let's see how you did!,Συγχαρητήρια που απαντήσατε σε όλες τις ερωτήσεις! Ας δούμε λοιπόν πώς τα πήγατε!,أحسنت الإجابة على جميع الأسئلة! الآن دعنا نرى كيف أبليت !,Bravo pour avoir répondu à toutes les questions ! Voyons maintenant comment tu t'en es sorti !
CHARACTER.Character Name,,Character Name,,,
