Key,Description,Standard,EL,AR,FR
SAY.Flowchart.19.,,Humanity has been at war with different diseases for millennia.,Η ανθρωπότητα βρίσκεται αντιμέτωπη με διάφορες ασθένειες εδώ και χιλιετίες.,كانت البشرية في حالة حرب مع أمراض مختلفة لآلاف السنين.,L’humanité est en guerre contre différentes maladies depuis des millénaires.
SAY.Flowchart.22.,,A group of diseases have specialised in attacking something we hold very dear to our hearts.,Μια ομάδα ασθενειών ειδικεύονται στο να επιτίθενται σε κάτι που αγαπάμε πάρα πολύ.,خططت مجموعة من الأمراض في مهاجمة شيء عزيز على قلوبنا.,Un groupe de maladies s'est spécialisé dans l'attaque de quelque chose qui nous tient à cœur 
SAY.Flowchart.23.,,Our sex life.,Τη σεξουαλική μας ζωή.,حياتنا الجنسية.,notre vie sexuelle.
SAY.Flowchart.146.,,Scientists have learnt about these diseases and developed new and better measures against them.,Οι επιστήμονες έχουν μάθει για αυτές τις ασθένειες και έχουν αναπτύξει νέα και καλύτερα μέτρα για την καταπολέμησή τους. ,أدرك العلماء هذه الأمراض وطوروا تدابير جديدة وأفضل لمكافحتها.,Les scientifiques ont appris à connaître ces maladies et ont mis au point de nouvelles mesures pour les combattre.
SAY.Flowchart.147.,,This is the story of how the human nation defeated said diseases.,Αυτή είναι η ιστορία του πώς το ανθρώπινο γένος νίκησε τις εν λόγω ασθένειες.,هذه هي قصة كيفية هزيمة الأمة البشرية للأمراض المذكورة.,Voici l'histoire de la façon dont la nation humaine a vaincu ces maladies. 
SAY.Flowchart.92.,,Act I - Planning the invasion,Πράξη Ι - Σχεδιάζοντας την εισβολή,الفصل الأول - التخطيط للغزو,Acte I - Planification de l'invasion
SAY.Flowchart.31.General Gonorrhea,,"My fellow STIs, we are here to discuss the plans for our long-awaited invasion of the human 
realm. Should we get straight to it?","Αγαπητά Σεξουαλικώς Μεταδιδόμενα Νοσήματα (ΣΜΝ), είμαστε εδώ για να συζητήσουμε τα σχέδια για την πολυαναμενόμενη εισβολή μας στο ανθρώπινο βασίλειο. Ας μη χάνουμε χρόνο.","زملائي من الأمراض المنقولة جنسيا، نحن هنا لمناقشة خطط غزو العالم البشري الذي طالما انتظرناه. هل يجب أن نصل إليه مباشرة؟ ","Mes amis MST, nous sommes ici pour discuter des plans de notre invasion tant attendue du royaume des humains. Devons-nous aller droit au but ?"
SAY.Flowchart.463.General Gonorrhea,,"Major Herpes, you have been hidden behind enemy lines for 
years. What is the situation of our potential entrances to the human nation?","Ταγματάρχα Έρπη, κρύβεστε πίσω από τις γραμμές του εχθρού για χρόνια. Ποιες είναι οι πιθανές είσοδοί μας στην ανθρώπινη ήπειρο; ","الرائد الهربس، لقد كنت مختبئا خلف خطوط العدو لسنوات. ما هو وضع مداخلنا المحتملة للأمة البشرية؟"," Majeur Herpès, vous avez été caché derrière les lignes ennemies pendant des années. Quelle est la situation de nos entrées potentielles dans la nation humaine ?"
SAY.Flowchart.32.Major Herpes,,General! We have isolated the most suitable areas for infection!,Στρατηγέ! Έχουμε απομονώσει τις πιο κατάλληλες περιοχές για μόλυνση!,سيدي الجنرال! لقد اخترنا أنسب المناطق للعدوى!,Général ! Nous avons isolé les zones les plus propices à l'infection ! 
SAY.Flowchart.149.Major Herpes,,"Yes! We have identified that the Penile Peninsula, the Vaginal Valley and the Anal Cove are the 
best places to land our forces.","Ναι! Έχουμε εντοπίσει ότι η πεϊκή χερσόνησος, η κολπική κοιλάδα και ο πρωκτικός όρμος είναι τα καλύτερα μέρη για να αποβιβάσουμε τις δυνάμεις μας.","لقد حددنا أن شبه جزيرة القضيب، الوادي المهبلي والخليج الشرجي هي أفضل الأماكن لهبوط قواتنا.","Oui ! Nous avons identifié que la péninsule pénienne, la vallée vaginale et l'anus sont les meilleurs endroits pour débarquer nos forces. "
